"Tempo","Tensao A","Tensao B","Corrente"
0.000,2.148E-4,0.037,6.51E-7
0.050,2.051E-4,0.037,6.21E-7
0.100,3.735E-4,0.038,1.13E-6
0.150,3.003E-4,0.038,9.10E-7
0.200,2.173E-4,0.038,6.58E-7
0.250,2.734E-4,0.038,8.28E-7
0.300,5.103E-4,0.038,1.55E-6
0.350,2.307E-4,0.038,6.99E-7
0.400,2.368E-4,0.038,7.17E-7
0.450,2.551E-4,0.041,7.73E-7
0.500,2.710E-4,0.064,8.21E-7
0.550,2.063E-4,0.096,6.25E-7
0.600,3.394E-4,0.124,1.03E-6
0.650,1.917E-4,0.148,5.81E-7
0.700,3.894E-4,0.173,1.18E-6
0.750,2.405E-4,0.195,7.29E-7
0.800,2.795E-4,0.213,8.47E-7
0.850,3.455E-4,0.229,1.05E-6
0.900,2.844E-4,0.244,8.62E-7
0.950,1.562E-4,0.258,4.73E-7
1.000,3.699E-4,0.272,1.12E-6
1.050,3.223E-4,0.285,9.76E-7
1.100,2.808E-4,0.296,8.51E-7
1.150,4.407E-4,0.306,1.33E-6
1.200,3.784E-4,0.314,1.15E-6
1.250,2.417E-4,0.322,7.32E-7
1.300,3.369E-4,0.328,1.02E-6
1.350,2.454E-4,0.332,7.43E-7
1.400,2.747E-4,0.335,8.32E-7
1.450,3.699E-4,0.337,1.12E-6
1.500,3.540E-4,0.338,1.07E-6
1.550,2.246E-4,0.339,6.80E-7
1.600,3.784E-4,0.339,1.15E-6
1.650,2.307E-4,0.340,6.99E-7
1.700,3.857E-4,0.340,1.17E-6
1.750,3.247E-4,0.341,9.84E-7
1.800,2.478E-4,0.341,7.51E-7
1.850,3.906E-4,0.343,1.18E-6
1.900,2.942E-4,0.345,8.91E-7
1.950,3.625E-4,0.348,1.10E-6
2.000,2.686E-4,0.351,8.14E-7
2.050,3.101E-4,0.355,9.39E-7
2.100,4.224E-4,0.359,1.28E-6
2.150,3.113E-4,0.363,9.43E-7
2.200,3.455E-4,0.367,1.05E-6
2.250,2.856E-4,0.373,8.65E-7
2.300,4.114E-4,0.381,1.25E-6
2.350,3.113E-4,0.388,9.43E-7
2.400,2.441E-4,0.394,7.40E-7
2.450,2.905E-4,0.406,8.80E-7
2.500,4.639E-4,0.422,1.41E-6
2.550,4.102E-4,0.441,1.24E-6
2.600,4.028E-4,0.470,1.22E-6
2.650,3.345E-4,0.497,1.01E-6
2.700,2.661E-4,0.518,8.06E-7
2.750,4.016E-4,0.533,1.22E-6
2.800,3.503E-4,0.543,1.06E-6
2.850,3.613E-4,0.550,1.09E-6
2.900,5.310E-4,0.554,1.61E-6
2.950,2.637E-4,0.557,7.99E-7
3.000,4.333E-4,0.559,1.31E-6
3.050,4.443E-4,0.560,1.35E-6
3.100,4.028E-4,0.561,1.22E-6
3.150,4.150E-4,0.562,1.26E-6
3.200,4.321E-4,0.562,1.31E-6
3.250,3.906E-4,0.562,1.18E-6
3.300,3.015E-4,0.563,9.13E-7
3.350,4.834E-4,0.563,1.46E-6
3.400,3.699E-4,0.564,1.12E-6
3.450,2.747E-4,0.565,8.32E-7
3.500,3.137E-4,0.567,9.50E-7
3.550,4.309E-4,0.572,1.31E-6
3.600,3.918E-4,0.577,1.19E-6
3.650,4.138E-4,0.585,1.25E-6
3.700,4.150E-4,0.593,1.26E-6
3.750,3.491E-4,0.604,1.06E-6
3.800,4.175E-4,0.624,1.26E-6
3.850,3.528E-4,0.648,1.07E-6
3.900,4.895E-4,0.665,1.48E-6
3.950,4.199E-4,0.676,1.27E-6
4.000,4.163E-4,0.684,1.26E-6
4.050,4.309E-4,0.689,1.31E-6
4.100,3.235E-4,0.692,9.80E-7
4.150,3.601E-4,0.695,1.09E-6
4.200,5.896E-4,0.699,1.79E-6
4.250,4.370E-4,0.703,1.32E-6
4.300,4.272E-4,0.708,1.29E-6
4.350,4.578E-4,0.715,1.39E-6
4.400,4.687E-4,0.727,1.42E-6
4.450,2.942E-4,0.743,8.91E-7
4.500,4.211E-4,0.766,1.28E-6
4.550,4.395E-4,0.785,1.33E-6
4.600,4.565E-4,0.799,1.38E-6
4.650,4.895E-4,0.808,1.48E-6
4.700,3.931E-4,0.814,1.19E-6
4.750,4.736E-4,0.819,1.43E-6
4.800,4.590E-4,0.822,1.39E-6
4.850,4.675E-4,0.824,1.42E-6
4.900,4.077E-4,0.827,1.24E-6
4.950,5.579E-4,0.830,1.69E-6
5.000,3.943E-4,0.832,1.19E-6
5.050,4.297E-4,0.835,1.30E-6
5.100,4.907E-4,0.839,1.49E-6
5.150,4.797E-4,0.845,1.45E-6
5.200,5.444E-4,0.853,1.65E-6
5.250,3.918E-4,0.862,1.19E-6
5.300,4.114E-4,0.869,1.25E-6
5.350,3.931E-4,0.873,1.19E-6
5.400,4.834E-4,0.877,1.46E-6
5.450,3.931E-4,0.880,1.19E-6
5.500,5.408E-4,0.886,1.64E-6
5.550,5.457E-4,0.893,1.65E-6
5.600,5.798E-4,0.901,1.76E-6
5.650,5.713E-4,0.909,1.73E-6
5.700,5.847E-4,0.918,1.77E-6
5.750,4.578E-4,0.926,1.39E-6
5.800,4.358E-4,0.939,1.32E-6
5.850,5.444E-4,0.954,1.65E-6
5.900,5.261E-4,0.966,1.59E-6
5.950,5.640E-4,0.976,1.71E-6
6.000,4.724E-4,0.983,1.43E-6
6.050,4.065E-4,0.988,1.23E-6
6.100,5.164E-4,0.992,1.56E-6
6.150,5.371E-4,0.995,1.63E-6
6.200,5.127E-4,1.000,1.55E-6
6.250,5.273E-4,1.008,1.60E-6
6.300,4.358E-4,1.018,1.32E-6
6.350,5.811E-4,1.028,1.76E-6
6.400,4.663E-4,1.040,1.41E-6
6.450,6.360E-4,1.051,1.93E-6
6.500,5.115E-4,1.062,1.55E-6
6.550,4.321E-4,1.071,1.31E-6
6.600,5.518E-4,1.081,1.67E-6
6.650,4.407E-4,1.090,1.33E-6
6.700,4.443E-4,1.100,1.35E-6
6.750,5.688E-4,1.109,1.72E-6
6.800,5.286E-4,1.119,1.60E-6
6.850,4.919E-4,1.126,1.49E-6
6.900,4.126E-4,1.132,1.25E-6
6.950,4.724E-4,1.139,1.43E-6
7.000,4.761E-4,1.148,1.44E-6
7.050,5.969E-4,1.156,1.81E-6
7.100,5.518E-4,1.167,1.67E-6
7.150,6.396E-4,1.180,1.94E-6
7.200,6.372E-4,1.193,1.93E-6
7.250,4.700E-4,1.209,1.42E-6
7.300,5.298E-4,1.224,1.60E-6
7.350,5.542E-4,1.236,1.68E-6
7.400,6.360E-4,1.246,1.93E-6
7.450,5.969E-4,1.258,1.81E-6
7.500,5.188E-4,1.273,1.57E-6
7.550,6.995E-4,1.289,2.12E-6
7.600,6.384E-4,1.303,1.93E-6
7.650,5.029E-4,1.314,1.52E-6
7.700,6.042E-4,1.325,1.83E-6
7.750,6.104E-4,1.339,1.85E-6
7.800,6.201E-4,1.355,1.88E-6
7.850,4.883E-4,1.371,1.48E-6
7.900,7.166E-4,1.387,2.17E-6
7.950,6.519E-4,1.401,1.97E-6
8.000,6.470E-4,1.414,1.96E-6
8.050,8.130E-4,1.426,2.46E-6
8.100,6.311E-4,1.436,1.91E-6
8.150,7.141E-4,1.442,2.16E-6
8.200,6.982E-4,1.447,2.12E-6
8.250,7.019E-4,1.450,2.13E-6
8.300,6.140E-4,1.454,1.86E-6
8.350,6.787E-4,1.460,2.06E-6
8.400,6.934E-4,1.468,2.10E-6
8.450,6.824E-4,1.476,2.07E-6
8.500,6.982E-4,1.486,2.12E-6
8.550,7.349E-4,1.496,2.23E-6
8.600,7.129E-4,1.506,2.16E-6
8.650,8.264E-4,1.523,2.50E-6
8.700,6.250E-4,1.547,1.89E-6
8.750,6.873E-4,1.568,2.08E-6
8.800,6.958E-4,1.585,2.11E-6
8.850,7.288E-4,1.598,2.21E-6
8.900,8.801E-4,1.608,2.67E-6
8.950,7.397E-4,1.615,2.24E-6
9.000,6.738E-4,1.621,2.04E-6
9.050,7.129E-4,1.626,2.16E-6
9.100,6.714E-4,1.631,2.03E-6
9.150,7.190E-4,1.637,2.18E-6
9.200,7.178E-4,1.644,2.17E-6
9.250,7.751E-4,1.654,2.35E-6
9.300,6.311E-4,1.663,1.91E-6
9.350,7.263E-4,1.673,2.20E-6
9.400,7.239E-4,1.687,2.19E-6
9.450,7.837E-4,1.706,2.37E-6
9.500,7.996E-4,1.729,2.42E-6
9.550,8.655E-4,1.750,2.62E-6
9.600,7.837E-4,1.765,2.37E-6
9.650,8.142E-4,1.776,2.47E-6
9.700,6.738E-4,1.783,2.04E-6
9.750,7.690E-4,1.789,2.33E-6
9.800,8.386E-4,1.794,2.54E-6
9.850,7.812E-4,1.799,2.37E-6
9.900,6.677E-4,1.805,2.02E-6
9.950,7.288E-4,1.814,2.21E-6
10.000,7.715E-4,1.831,2.34E-6
10.050,7.458E-4,1.849,2.26E-6
10.100,8.313E-4,1.863,2.52E-6
10.150,8.850E-4,1.874,2.68E-6
10.200,7.983E-4,1.884,2.42E-6
10.250,7.886E-4,1.893,2.39E-6
10.300,7.947E-4,1.900,2.41E-6
10.350,6.787E-4,1.906,2.06E-6
10.400,8.496E-4,1.913,2.57E-6
10.450,8.301E-4,1.921,2.51E-6
10.500,8.191E-4,1.930,2.48E-6
10.550,7.886E-4,1.946,2.39E-6
10.600,7.898E-4,1.961,2.39E-6
10.650,7.874E-4,1.975,2.39E-6
10.700,9.204E-4,1.987,2.79E-6
10.750,8.215E-4,1.998,2.49E-6
10.800,9.058E-4,2.010,2.74E-6
10.850,8.301E-4,2.021,2.51E-6
10.900,8.398E-4,2.035,2.54E-6
10.950,8.984E-4,2.047,2.72E-6
11.000,8.044E-4,2.059,2.44E-6
11.050,9.070E-4,2.071,2.75E-6
11.100,7.690E-4,2.083,2.33E-6
11.150,9.558E-4,2.094,2.90E-6
11.200,7.874E-4,2.102,2.39E-6
11.250,9.326E-4,2.109,2.83E-6
11.300,9.656E-4,2.120,2.93E-6
11.350,8.630E-4,2.137,2.61E-6
11.400,0.001,2.154,3.24E-6
11.450,9.363E-4,2.168,2.84E-6
11.500,0.001,2.180,3.13E-6
11.550,0.001,2.191,3.22E-6
11.600,9.705E-4,2.207,2.94E-6
11.650,0.001,2.226,3.31E-6
11.700,0.001,2.245,3.57E-6
11.750,0.001,2.261,4.16E-6
11.800,0.001,2.274,4.21E-6
11.850,0.002,2.285,4.70E-6
11.900,0.002,2.299,5.58E-6
11.950,0.002,2.312,6.26E-6
12.000,0.002,2.322,7.24E-6
12.050,0.003,2.329,8.75E-6
12.100,0.003,2.334,9.00E-6
12.150,0.003,2.338,9.61E-6
12.200,0.004,2.345,1.08E-5
12.250,0.005,2.356,1.39E-5
12.300,0.005,2.366,1.62E-5
12.350,0.006,2.374,1.94E-5
12.400,0.007,2.380,2.26E-5
12.450,0.009,2.387,2.60E-5
12.500,0.010,2.393,2.97E-5
12.550,0.012,2.401,3.49E-5
12.600,0.014,2.409,4.24E-5
12.650,0.016,2.416,4.96E-5
12.700,0.020,2.425,5.95E-5
12.750,0.023,2.432,7.09E-5
12.800,0.028,2.440,8.52E-5
12.850,0.032,2.446,9.75E-5
12.900,0.036,2.451,1.09E-4
12.950,0.039,2.455,1.19E-4
13.000,0.044,2.460,1.34E-4
13.050,0.050,2.466,1.51E-4
13.100,0.055,2.470,1.66E-4
13.150,0.060,2.475,1.82E-4
13.200,0.067,2.479,2.02E-4
13.250,0.073,2.484,2.22E-4
13.300,0.079,2.488,2.41E-4
13.350,0.085,2.491,2.59E-4
13.400,0.091,2.494,2.74E-4
13.450,0.094,2.496,2.86E-4
13.500,0.098,2.497,2.95E-4
13.550,0.100,2.499,3.02E-4
13.600,0.102,2.500,3.08E-4
13.650,0.104,2.501,3.16E-4
13.700,0.110,2.504,3.35E-4
13.750,0.121,2.508,3.68E-4
13.800,0.131,2.512,3.96E-4
13.850,0.137,2.515,4.15E-4
13.900,0.143,2.517,4.32E-4
13.950,0.156,2.521,4.72E-4
14.000,0.171,2.526,5.17E-4
14.050,0.182,2.530,5.51E-4
14.100,0.189,2.532,5.74E-4
14.150,0.195,2.534,5.89E-4
14.200,0.198,2.535,6.00E-4
14.250,0.200,2.535,6.07E-4
14.300,0.202,2.536,6.12E-4
14.350,0.203,2.536,6.16E-4
14.400,0.204,2.536,6.18E-4
14.450,0.204,2.536,6.19E-4
14.500,0.205,2.536,6.20E-4
14.550,0.205,2.537,6.21E-4
14.600,0.205,2.537,6.21E-4
14.650,0.205,2.537,6.21E-4
14.700,0.205,2.537,6.22E-4
14.750,0.206,2.537,6.23E-4
14.800,0.206,2.537,6.23E-4
14.850,0.206,2.537,6.23E-4
14.900,0.206,2.537,6.24E-4
14.950,0.206,2.537,6.24E-4
15.000,0.206,2.537,6.25E-4
15.050,0.206,2.537,6.25E-4
15.100,0.207,2.537,6.26E-4
15.150,0.207,2.537,6.26E-4
15.200,0.207,2.537,6.27E-4
15.250,0.207,2.537,6.27E-4
15.300,0.207,2.537,6.28E-4
15.350,0.207,2.537,6.28E-4
15.400,0.207,2.537,6.28E-4
15.450,0.208,2.537,6.29E-4
15.500,0.207,2.537,6.29E-4
15.550,0.207,2.537,6.28E-4
15.600,0.207,2.537,6.28E-4
15.650,0.208,2.537,6.29E-4
15.700,0.207,2.537,6.28E-4
15.750,0.207,2.537,6.28E-4
15.800,0.207,2.537,6.27E-4
15.850,0.207,2.537,6.28E-4
15.900,0.207,2.537,6.28E-4
15.950,0.208,2.537,6.29E-4
16.000,0.208,2.537,6.29E-4
16.050,0.208,2.537,6.29E-4
16.100,0.207,2.537,6.29E-4
16.150,0.208,2.537,6.29E-4
16.200,0.207,2.537,6.29E-4
16.250,0.207,2.537,6.28E-4
16.300,0.207,2.537,6.27E-4
16.350,0.207,2.537,6.27E-4
16.400,0.207,2.537,6.26E-4
16.450,0.206,2.537,6.26E-4
16.500,0.206,2.537,6.25E-4
16.550,0.206,2.537,6.25E-4
16.600,0.206,2.537,6.26E-4
16.650,0.206,2.537,6.25E-4
16.700,0.206,2.537,6.25E-4
16.750,0.206,2.537,6.24E-4
16.800,0.206,2.537,6.24E-4
16.850,0.206,2.537,6.23E-4
16.900,0.205,2.537,6.22E-4
16.950,0.205,2.536,6.21E-4
17.000,0.205,2.536,6.21E-4
17.050,0.205,2.536,6.21E-4
17.100,0.205,2.537,6.21E-4
17.150,0.205,2.536,6.22E-4
17.200,0.206,2.537,6.23E-4
17.250,0.206,2.537,6.23E-4
17.300,0.206,2.537,6.23E-4
17.350,0.206,2.537,6.24E-4
17.400,0.206,2.537,6.24E-4
17.450,0.206,2.537,6.24E-4
17.500,0.206,2.537,6.23E-4
17.550,0.206,2.537,6.23E-4
17.600,0.205,2.537,6.22E-4
17.650,0.205,2.537,6.22E-4
17.700,0.206,2.537,6.23E-4
17.750,0.206,2.537,6.23E-4
17.800,0.206,2.537,6.23E-4
17.850,0.205,2.536,6.22E-4
17.900,0.205,2.537,6.22E-4
17.950,0.205,2.536,6.22E-4
18.000,0.205,2.536,6.21E-4
18.050,0.202,2.535,6.13E-4
18.100,0.203,2.536,6.14E-4
18.150,0.203,2.536,6.15E-4
18.200,0.203,2.536,6.15E-4
18.250,0.203,2.536,6.14E-4
18.300,0.202,2.536,6.11E-4
18.350,0.200,2.535,6.07E-4
18.400,0.199,2.535,6.03E-4
